Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.buffer.BufferSegment,8,44,16,17,0,1,66,0,0,0.014865680539828677,2
org.gjt.sp.jedit.buffer.BufferUndoListener,,,,0,0,4,4,2,0,0.012775786133808335,1
org.gjt.sp.jedit.buffer.ContentManager,0,19,20,92,0,1,149,1,0,0.013108537387352643,4
org.gjt.sp.jedit.buffer.DefaultFoldHandlerProvider,0,0,0,100,1,1,12,1,0,0.010971786833855798,1
org.gjt.sp.jedit.buffer.DummyFoldHandler,,,,0,0,2,8,1,0,0.012111736945929147,2
org.gjt.sp.jedit.buffer.ExplicitFoldHandler,,,,0,1,2,50,2,0,0.015879919271453363,1
org.gjt.sp.jedit.buffer.FoldHandler,28,81,66,7,1,5,38,1,0,0.014897740395345811,3
org.gjt.sp.jedit.buffer.FoldHandlerProvider,,,,0,0,2,2,1,0,0.013133208255159474,1
org.gjt.sp.jedit.buffer.IndentFoldHandler,,,,0,1,2,66,2,0,0.014485094186743399,1
org.gjt.sp.jedit.buffer.JEditBuffer,5732,95,94,6,16,1,1830,11,0,0.01389704926048035,42
org.gjt.sp.jedit.buffer.KillRing,46,61,47,11,0,6,203,1,2,0.011018805839859383,6
org.gjt.sp.jedit.buffer.LineManager,10,68,73,45,0,1,251,3,0,0.01735155930586249,3
org.gjt.sp.jedit.buffer.PositionManager,0,50,25,100,0,2,49,1,0,0.010596934482868218,5
org.gjt.sp.jedit.buffer.UndoManager,53,80,82,40,5,2,236,3,2,0.010502691590367258,14
org.gjt.sp.jedit.bufferio.BufferAutosaveRequest,,,,0,4,2,68,1,0,0.015018893963388676,6
org.gjt.sp.jedit.bufferio.BufferIORequest,16,90,85,33,6,1,329,4,0,0.01765645091904802,5
org.gjt.sp.jedit.bufferio.BufferInsertRequest,,,,0,7,2,75,1,0,0.01744038140368018,5
org.gjt.sp.jedit.bufferio.BufferLoadRequest,,,,0,6,2,306,5,0,0.01369731908525826,6
org.gjt.sp.jedit.bufferio.BufferSaveRequest,,,,0,5,2,168,4,0,0.012356839749343058,6
org.gjt.sp.jedit.bufferio.MarkersSaveRequest,0,33,86,0,5,1,76,2,0,0.019213938392916068,3
org.gjt.sp.jedit.bufferset.BufferSet,0,67,72,52,4,1,220,2,0,0.01529505452549558,5
org.gjt.sp.jedit.bufferset.BufferSetAdapter,,,,0,0,4,12,1,4,0.01419256218463147,2
org.gjt.sp.jedit.bufferset.BufferSetListener,,,,0,0,4,4,1,0,0.013709821974269856,2
org.gjt.sp.jedit.bufferset.BufferSetManager,,,,0,6,6,178,3,2,0.015180239573379438,7
org.gjt.sp.jedit.gui.AbbrevEditor,0,50,66,38,0,1,177,2,0,0.0165881770362356,2
org.gjt.sp.jedit.gui.AboutDialog,,,,0,1,1,52,1,0,0.006233303650934993,6
org.gjt.sp.jedit.gui.AbstractContextOptionPane,12,75,78,,2,1,99,1,2,0.014219302618147996,5
org.gjt.sp.jedit.gui.ActionBar,0,62,72,100,5,2,196,4,1,0.013057054425231477,3
org.gjt.sp.jedit.gui.AddAbbrevDialog,,0,,,1,1,47,1,0,4.9E-324,2
org.gjt.sp.jedit.gui.AnimatedIcon,4,70,85,29,0,1,52,0,0,0.012540454146755947,2
org.gjt.sp.jedit.gui.BeanShellErrorDialog,,,,,0,2,8,1,0,0.01990049751243781,2
org.gjt.sp.jedit.gui.BufferOptions,1,60,,0,1,1,51,1,2,0.009758579532584733,2
org.gjt.sp.jedit.gui.BufferSwitcher,0,25,,0,3,1,40,3,0,0.00888364740877734,4
org.gjt.sp.jedit.gui.CloseDialog,13,80,100,0,0,2,84,2,2,0.013945090420182622,5
org.gjt.sp.jedit.gui.ColorWellButton,,,,0,0,3,19,0,2,0.013022186670124863,4
org.gjt.sp.jedit.gui.CompleteWord,43,76,50,0,10,1,325,2,0,0.016310687528117134,6
org.gjt.sp.jedit.gui.CompletionPopup,27,63,59,73,6,3,180,4,0,0.017490048649452493,6
org.gjt.sp.jedit.gui.ContextAddDialog,2,63,80,33,1,1,124,1,2,0.010050565337963495,8
org.gjt.sp.jedit.gui.DefaultFocusComponent,,,,0,0,1,1,1,0,4.9E-324,2
org.gjt.sp.jedit.gui.DefaultInputHandler,,,,0,3,7,144,2,0,0.014785698876761393,2
org.gjt.sp.jedit.gui.DockableLayout,65,79,67,12,2,6,385,1,0,0.010506049907428148,3
org.gjt.sp.jedit.gui.DockablePanel,3,72,0,33,1,3,80,1,0,0.010037891241234928,3
org.gjt.sp.jedit.gui.DockableWindow,,,,0,0,1,1,1,0,4.9E-324,1
org.gjt.sp.jedit.gui.DockableWindowContainer,,,,0,0,5,5,1,0,0.014746694370654116,1
org.gjt.sp.jedit.gui.DockableWindowFactory,3,60,58,36,4,2,96,1,1,0.016159950341881453,5
org.gjt.sp.jedit.gui.DockableWindowManager,888,96,89,1,3,44,280,3,3,0.014508506413641542,11
org.gjt.sp.jedit.gui.DockableWindowManagerImpl,147,84,85,15,9,3,644,2,3,0.010909397749483738,7
org.gjt.sp.jedit.gui.DockableWindowManagerProvider,,,,0,0,2,9,1,0,0.020772350328543153,2
org.gjt.sp.jedit.gui.DockingFrameworkProvider,,,,0,0,2,2,1,0,0.013707893839187704,2
org.gjt.sp.jedit.gui.DockingLayoutManager,137,91,94,19,10,1,197,3,2,0.016578407824428185,3
org.gjt.sp.jedit.gui.DynamicContextMenuService,,,,0,0,1,1,0,0,4.9E-324,2
org.gjt.sp.jedit.gui.EditAbbrevDialog,3,67,66,100,1,1,82,1,0,0.01025688276227753,2
org.gjt.sp.jedit.gui.EnhancedButton,1,50,,0,1,2,36,1,0,0.013322119318900578,2
org.gjt.sp.jedit.gui.EnhancedDialog,15,71,50,17,0,3,34,0,0,0.013276024095424213,9
org.gjt.sp.jedit.gui.ErrorListDialog,3,67,,0,0,2,91,2,2,0.013251782225347546,4
org.gjt.sp.jedit.gui.ExtendedGridLayout,106,75,55,7,1,6,844,0,0,0.009342549488208325,5
org.gjt.sp.jedit.gui.ExtendedGridLayoutConstraints,35,72,75,29,0,1,139,0,0,0.010539339991639855,3
org.gjt.sp.jedit.gui.FilePropertiesDialog,25,80,87,25,3,2,218,0,2,0.015702008897963318,7
org.gjt.sp.jedit.gui.FilesChangedDialog,3,67,79,0,2,3,289,2,2,0.017709404420246655,3
org.gjt.sp.jedit.gui.FloatingWindowContainer,31,78,75,14,1,3,111,1,2,0.008233435059986966,1
org.gjt.sp.jedit.gui.FontSelector,9,43,0,33,0,2,62,0,2,0.014805351419334346,1
org.gjt.sp.jedit.gui.GrabKeyDialog,54,87,88,7,3,7,214,2,0,0.011879933564091808,7
org.gjt.sp.jedit.gui.HistoryModel,52,78,82,14,1,2,77,0,2,0.013370254458585758,7
org.gjt.sp.jedit.gui.HistoryModelSaver,,,,0,0,2,2,0,0,0.016611038943251402,2
org.gjt.sp.jedit.gui.HistoryText,1,71,72,47,1,3,227,0,0,0.011879063700956718,1
org.gjt.sp.jedit.gui.HistoryTextArea,0,0,0,100,1,1,109,1,0,0.01087757332791702,2
org.gjt.sp.jedit.gui.HistoryTextField,56,73,69,31,1,5,163,0,1,0.010102149110265427,3
org.gjt.sp.jedit.gui.IOProgressMonitor,0,50,75,100,0,1,44,1,2,0.01566565480926859,4
org.gjt.sp.jedit.gui.InputHandler,15,33,0,22,6,3,387,5,0,0.01625680308409431,2
org.gjt.sp.jedit.gui.JCheckBoxList,43,80,0,0,2,5,94,0,0,0.010208529149472394,2
org.gjt.sp.jedit.gui.JEditHistoryModelSaver,1,56,67,100,0,1,170,1,0,0.019170029385210386,3
org.gjt.sp.jedit.gui.KeyEventTranslator,28,79,70,7,1,2,755,0,0,0.009444110006840896,12
org.gjt.sp.jedit.gui.KeyEventWorkaround,13,75,50,7,0,2,317,1,0,0.010258227696491472,5
org.gjt.sp.jedit.gui.ListModelEditor,,,,0,0,1,89,0,0,0.017389015303708674,2
org.gjt.sp.jedit.gui.LogViewer,9,74,80,20,0,1,134,1,5,0.016990614974727647,10
org.gjt.sp.jedit.gui.MarkerViewer,0,62,72,10,10,3,164,3,1,0.009655204267804253,3
org.gjt.sp.jedit.gui.MutableListModel,,,,0,0,2,2,0,0,0.01616450563832529,2
org.gjt.sp.jedit.gui.NumericTextField,1,33,,,0,2,20,0,0,0.011705685618729094,3
org.gjt.sp.jedit.gui.OptionsDialog,100,84,77,25,3,6,371,2,2,0.009484621029962642,11
org.gjt.sp.jedit.gui.PanelWindowContainer,14,79,,50,4,1,283,1,2,0.011715738166600645,5
org.gjt.sp.jedit.gui.PasteFromListDialog,0,61,80,0,3,1,117,2,2,0.011238355683819317,4
