Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.client.gui.plaf.FreeColTextAreaUI,4,50,,0,1,0,0.06885655895068278,6
net.sf.freecol.client.gui.plaf.FreeColTextFieldUI,4,50,,0,1,0,0.07049992385274535,6
net.sf.freecol.client.gui.plaf.FreeColToolTipUI,1,50,,0,2,0,0.08611024181362097,10
net.sf.freecol.client.gui.plaf.FreeColTransparentPanelUI,1,50,,0,2,0,0.07015587694382686,5
net.sf.freecol.client.gui.plaf.LAFUtilities,,0,,0,1,0,4.9E-324,3
net.sf.freecol.client.gui.sound.MusicLibrary,,100,,,1,0,4.9E-324,3
net.sf.freecol.client.gui.sound.Playlist,0,49,66,83,1,0,0.01179969379255516,2
net.sf.freecol.client.gui.sound.SfxLibrary,,,,,1,0,4.9E-324,3
net.sf.freecol.client.gui.sound.SoundLibrary,0,33,0,100,1,0,0.028926630962032733,1
net.sf.freecol.client.gui.sound.SoundPlayer,27,86,79,28,3,0,0.0064023290902491614,28
net.sf.freecol.client.networking.Client,0,58,71,54,1,0,0.01231470508502347,7
net.sf.freecol.common.FreeColException,,,,,1,0,4.9E-324,2
net.sf.freecol.common.PseudoRandom,,100,,0,1,0,4.9E-324,1
net.sf.freecol.common.ServerInfo,57,74,68,36,2,0,0.01150225526620181,2
net.sf.freecol.common.Specification,2265,96,98,1,13,0,0.031199379506453358,9
net.sf.freecol.common.io.FreeColDataFile,0,49,57,100,1,1,0.028632487399539025,24
net.sf.freecol.common.io.FreeColSavegameFile,3,83,,0,3,0,0.014907972471792293,10
net.sf.freecol.common.io.FreeColTcFile,3,67,,0,3,1,0.01181102362204724,18
net.sf.freecol.common.logging.DefaultHandler,0,42,50,100,1,0,0.014421424266051832,5
net.sf.freecol.common.logging.TextFormatter,,,,0,2,0,0.011904761904761904,3
net.sf.freecol.common.model.Ability,36,75,0,48,4,4,0.011029411764705888,30
net.sf.freecol.common.model.AbstractGoods,1,45,41,43,2,2,0.011738490033184308,14
net.sf.freecol.common.model.AbstractUnit,31,54,35,49,4,2,0.010063886772817299,13
net.sf.freecol.common.model.BonusOrPenalty,,,,,1,0,4.9E-324,0
net.sf.freecol.common.model.BuildQueue,328,83,79,37,4,2,0.007586042252062488,20
net.sf.freecol.common.model.BuildableType,52,88,77,33,6,3,0.010901642671826795,24
net.sf.freecol.common.model.Building,1102,78,70,19,7,11,0.009319596240134653,111
net.sf.freecol.common.model.BuildingType,100,88,90,9,5,1,0.012093805463707854,39
net.sf.freecol.common.model.Colony,4138,95,92,4,11,12,0.010326172571537584,230
net.sf.freecol.common.model.ColonyTile,461,82,66,12,6,11,0.009091461389502615,81
net.sf.freecol.common.model.ColonyTradeItem,3,30,0,48,2,4,0.012455434452890593,11
net.sf.freecol.common.model.CombatModel,,,,0,13,0,0.010948905109489055,9
net.sf.freecol.common.model.CostDecider,3,100,,0,3,0,0.011718749999999997,0
