Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
org.apache.catalina.loader.VirtualWebappLoader,4,50,0,100,3,1,0.008363569763883411,9
org.apache.catalina.loader.WebappClassLoader,1494,93,92,16,6,5,0.2601751434362232,132
org.apache.catalina.loader.WebappLoader,751,92,92,13,6,11,0.018092026265909965,56
org.apache.catalina.manager.Constants,,,,,0,0,-2.0,10
org.apache.catalina.manager.HTMLManagerServlet,253,96,100,0,4,6,0.005151988328348005,48
org.apache.catalina.manager.JMXProxyServlet,8,56,37,48,1,2,0.005747327538142319,16
org.apache.catalina.manager.JspHelper,87,91,66,2,8,0,0.007042991334737861,9
org.apache.catalina.manager.ManagerServlet,197,84,79,21,2,7,0.015306140567918099,45
org.apache.catalina.manager.StatusManagerServlet,0,46,43,50,2,3,0.0040945398927393585,11
org.apache.catalina.manager.StatusTransformer,,,,0,7,0,0.006340445574269931,16
org.apache.catalina.manager.host.Constants,,,,,0,0,-2.0,7
org.apache.catalina.manager.host.HTMLHostManagerServlet,15,83,,0,2,4,0.006809922388469782,12
org.apache.catalina.manager.host.HostManagerServlet,8,70,62,40,2,6,0.015730973556172412,23
org.apache.catalina.manager.util.BaseSessionComparator,,,,0,2,0,0.009281540048126502,3
